Origine;Type tarif;Prix
CAGNES SUR MER;Tarif normal;10.0
MARSEILLE ST CHARLES;Tarif normal;19.2
ST LAURENT DU VAR;Tarif normal;14.3
AIX EN PROVENCE;Tarif normal;14.0
NICE RIQUIER;Tarif normal;11.6
MARSEILLE ST CHARLES;Tarif normal;41.2
MENTON;Abonnement tout public;54.7
GARDANNE;Tarif normal;6.9
SIMIANE;Tarif normal;14.0
CANNES;Abonnement tout public;54.7
SISTERON;Tarif normal;10.3
CANNES;Abonnement tout public;116.9
BEAULIEU SUR MER;Tarif normal;3.7
JUAN LES PINS;Abonnement tout public;58.7
LE BOSQUET;Abonnement tout public;41.5
BRIANCON;Abonnement tout public;81.0
ROGNAC;Tarif normal;20.5
AUBAGNE;Tarif normal;14.7
CASSIS;Tarif normal;13.4
CARPENTRAS;Abonnement tout public;73.6
PAS DES LANCIERS;Tarif normal;18.5
MONACO MONTE CARLO;Tarif normal;18.7
ARLES;Tarif normal;19.2
FREJUS;Tarif normal;4.6
CARRY LE ROUET;Tarif normal;5.7
MANDELIEU LA NAPOULE;Tarif normal;7.2
ARLES;Tarif normal;14.8
ST CYR LES LECQUES LA CADI;Tarif normal;6.2
LA GARDE;Tarif normal;12.0
SOLLIES PONT;Tarif normal;5.9
LA CRAU;Tarif normal;10.3
AVIGNON CENTRE;Tarif normal;8.2
CARNOULES;Tarif normal;21.5
LE LUC ET LE CANNET;Tarif normal;22.5
LA PAULINE;Tarif normal;23.0
LES ARCS DRAGUIGNAN;Tarif normal;22.9
NICE VILLE;Tarif normal;30.9
CAGNES SUR MER;Tarif normal;10.9
NICE VILLE;Tarif normal;34.0
NICE VILLE;Tarif normal;30.9
ST LAURENT DU VAR;Tarif normal;11.4
NICE VILLE;Tarif normal;16.2
BEAULIEU SUR MER;Tarif normal;12.9
BEAULIEU SUR MER;Tarif normal;32.8
EZE;Tarif normal;9.1
MONACO MONTE CARLO;Tarif normal;48.0
ST RAPHAEL VALESCURE;Tarif normal;5.3
MENTON;Tarif normal;7.4
MENTON;Tarif normal;15.0
